id,production companies
2163,Paramount Pictures
10806,Paramount Pictures
9437,Paramount Pictures
11015,Paramount Pictures
10371,Universal Pictures
12145,Universal Pictures
9403,Paramount Pictures
17894,Paramount Pictures
16992,Universal Pictures
17834,Universal Pictures
330,Universal Pictures
10871,Paramount Pictures
14908,Universal Pictures
17832,Universal Pictures
37244,Universal Pictures
14817,Paramount Pictures
106646,Paramount Pictures
75612,Universal Pictures
93456,Universal Pictures
54138,Paramount Pictures
158015,Universal Pictures
72190,Paramount Pictures
72559,Paramount Pictures
107985,Universal Pictures
60304,Paramount Pictures
193756,Universal Pictures
49524,Universal Pictures
208134,Paramount Pictures
59859,Universal Pictures
109443,Paramount Pictures
134374,Paramount Pictures
132232,Universal Pictures
76544,Universal Pictures
82992,Universal Pictures
183258,Universal Pictures
105,Universal Pictures
2108,Universal Pictures
606,Universal Pictures
9281,Paramount Pictures
16248,Paramount Pictures
15196,Paramount Pictures
9731,Paramount Pictures
9749,Universal Pictures
11177,Universal Pictures
11064,Universal Pictures
17898,Paramount Pictures
11904,Paramount Pictures
19357,Paramount Pictures
9872,Paramount Pictures
11338,Universal Pictures
8202,Paramount Pictures
74,Paramount Pictures
6957,Universal Pictures
2313,Universal Pictures
11283,Universal Pictures
4348,Universal Pictures
25,Universal Pictures
16320,Universal Pictures
9621,Paramount Pictures
8292,Paramount Pictures
179,Universal Pictures
9913,Universal Pictures
7214,Paramount Pictures
9910,Universal Pictures
15648,Universal Pictures
6963,Paramount Pictures
11683,Universal Pictures
10060,Paramount Pictures
9981,Universal Pictures
9291,Paramount Pictures
6961,Universal Pictures
7364,Paramount Pictures
10092,Universal Pictures
11804,Universal Pictures
13499,Paramount Pictures
13341,Paramount Pictures
956,Paramount Pictures
9693,Universal Pictures
9767,Universal Pictures
6877,Paramount Pictures
1247,Universal Pictures
82,Universal Pictures
7516,Universal Pictures
9035,Universal Pictures
9353,Paramount Pictures
9676,Universal Pictures
9310,Universal Pictures
1819,Universal Pictures
1852,Paramount Pictures
9788,Universal Pictures
9907,Paramount Pictures
1125,Paramount Pictures
12094,Paramount Pictures
4723,Universal Pictures
9615,Universal Pictures
9986,Paramount Pictures
9829,Universal Pictures
9895,Universal Pictures
1967,Paramount Pictures
9809,Universal Pictures
2502,Universal Pictures
10625,Paramount Pictures
7131,Universal Pictures
1538,Paramount Pictures
747,Universal Pictures
11774,Paramount Pictures
5137,Paramount Pictures
11836,Paramount Pictures
5966,Universal Pictures
2789,Universal Pictures
14462,Paramount Pictures
8849,Paramount Pictures
9890,Paramount Pictures
3989,Paramount Pictures
10762,Paramount Pictures
1677,Universal Pictures
11823,Universal Pictures
13505,Paramount Pictures
11137,Paramount Pictures
7092,Universal Pictures
8080,Paramount Pictures
15673,Universal Pictures
8842,Paramount Pictures
2791,Universal Pictures
12540,Universal Pictures
238,Paramount Pictures
573,Universal Pictures
14881,Universal Pictures
811,Universal Pictures
11610,Paramount Pictures
813,Paramount Pictures
525,Universal Pictures
4488,Paramount Pictures
13612,Universal Pictures
12705,Universal Pictures
11335,Paramount Pictures
17496,Paramount Pictures
2768,Paramount Pictures
23954,Paramount Pictures
16619,Paramount Pictures
16769,Universal Pictures
15668,Universal Pictures
5922,Paramount Pictures
13005,Universal Pictures
2503,Universal Pictures
2270,Paramount Pictures
7485,Paramount Pictures
4347,Universal Pictures
4964,Universal Pictures
1949,Paramount Pictures
6538,Universal Pictures
4349,Universal Pictures
8271,Paramount Pictures
3563,Universal Pictures
1738,Paramount Pictures
4169,Universal Pictures
2310,Paramount Pictures
8277,Universal Pictures
1858,Paramount Pictures
4517,Universal Pictures
13159,Universal Pictures
1257,Universal Pictures
10074,Paramount Pictures
13158,Paramount Pictures
14001,Universal Pictures
15261,Universal Pictures
